iter	RMSE
0	5.620052972
1	5.523389524
2	5.422160565
3	5.343805675
4	5.269206375
5	5.190214658
6	5.121333859
7	5.052866128
8	4.993154073
9	4.941075654
10	4.89292108
11	4.833380066
12	4.770644452
13	4.734900151
14	4.68175328
15	4.63061899
16	4.590378246
17	4.544885605
18	4.505261714
19	4.469184049
20	4.433571443
21	4.396546086
22	4.357762652
23	4.323429355
24	4.285782687
25	4.260926395
26	4.232194832
27	4.206179419
28	4.179930118
29	4.160109699
30	4.133491262
31	4.113721314
32	4.095444221
33	4.077064023
34	4.059965565
35	4.03743085
36	4.024246927
37	4.005495194
38	3.99148057
39	3.974198825
40	3.95999096
41	3.943835017
42	3.931026291
43	3.916875587
44	3.904263926
45	3.894494824
46	3.883650895
47	3.866416916
48	3.853377047
49	3.839339442
50	3.826889949
51	3.816964889
52	3.809415106
53	3.797579762
54	3.787351687
55	3.778085718
56	3.766566949
57	3.761055991
58	3.754372522
59	3.745711341
60	3.740509023
61	3.734133782
62	3.72163419
63	3.715772882
64	3.708688001
65	3.704298635
66	3.696207067
67	3.689619739
68	3.686385252
69	3.678071316
70	3.665609865
71	3.659549376
72	3.653880907
73	3.645636037
74	3.640206691
75	3.637808459
76	3.630783182
77	3.626726702
78	3.620766811
79	3.614812935
80	3.610569416
81	3.607867559
82	3.602082912
83	3.594116681
84	3.591025007
85	3.586468425
86	3.582089016
87	3.577100326
88	3.571478299
89	3.567302414
90	3.562208374
91	3.556804313
92	3.554816103
93	3.54935549
94	3.54752579
95	3.543997328
96	3.540127435
97	3.535271268
98	3.532893661
99	3.528219583
100	3.523164228
101	3.518148847
102	3.515034842
103	3.51229315
104	3.508134485
105	3.504845141
106	3.500465632
107	3.49404251
108	3.489543697
109	3.479239118
110	3.477021475
111	3.474787205
112	3.470150282
113	3.464062301
114	3.459723812
115	3.455351739
116	3.452989347
117	3.448818116
118	3.442366087
119	3.439066647
120	3.434722971
121	3.431974788
122	3.428756937
123	3.424532343
124	3.422839064
125	3.416468883
126	3.411227415
127	3.408201946
128	3.404597352
129	3.400600569
130	3.39556126
131	3.392791483
132	3.388078393
133	3.385222019
134	3.381960066
135	3.379393151
136	3.377029977
137	3.374111441
138	3.36925455
139	3.367985242
140	3.364732293
141	3.363008123
142	3.360379207
143	3.356902968
144	3.354641615
145	3.350684986
146	3.348154195
147	3.346227323
148	3.342688968
149	3.340498057
150	3.339517336
151	3.337812633
152	3.335729342
153	3.331079083
154	3.328349504
155	3.326124635
156	3.324014888
157	3.320086156
158	3.316346876
159	3.31438913
160	3.311454935
161	3.309327281
162	3.308085129
163	3.306117466
164	3.302060784
165	3.30033813
166	3.294595918
167	3.292477842
168	3.289477961
169	3.283532427
170	3.278810947
171	3.276989769
172	3.272754237
173	3.269941761
174	3.26734771
175	3.264166045
176	3.262758482
177	3.258104216
178	3.254136116
179	3.250909896
180	3.247714878
181	3.244330542
182	3.242971372
183	3.241565234
184	3.238125794
185	3.234839453
186	3.233110677
187	3.227967926
188	3.225213237
189	3.217740215
190	3.214426284
191	3.213005144
192	3.211463306
193	3.20882769
194	3.207062906
195	3.204351094
196	3.202073226
197	3.200359644
198	3.197015838
199	3.194533251
200	3.192437866
201	3.185863447
202	3.182861111
203	3.180551303
204	3.176871838
205	3.170826605
206	3.166976264
207	3.162730037
208	3.159735596
209	3.156910249
210	3.154860085
211	3.149441106
212	3.14509487
213	3.141034162
214	3.137549471
215	3.135265777
216	3.133047878
217	3.130248787
218	3.127222472
219	3.125162788
220	3.12377776
221	3.122331138
222	3.120391511
223	3.118543384
224	3.116728498
225	3.113976521
226	3.108769388
227	3.107537881
228	3.106067153
229	3.104147673
230	3.099942686
231	3.096144456
232	3.094355912
233	3.091800649
234	3.089518814
235	3.084637171
236	3.08199102
237	3.080517933
238	3.079136905
239	3.073296276
240	3.070299743
241	3.069446476
242	3.069131125
243	3.065281233
244	3.062766061
245	3.060630501
246	3.057398925
247	3.053301224
248	3.050927938
249	3.049769269
250	3.047364035
251	3.04539893
252	3.043491756
253	3.041854338
254	3.04122015
255	3.040630447
256	3.036341204
257	3.035294003
258	3.030537783
259	3.02605057
260	3.022410844
261	3.020737314
262	3.020136232
263	3.016534151
264	3.014398363
265	3.011099903
266	3.008839137
267	3.004059265
268	2.998833172
269	2.994546732
270	2.992155886
271	2.98952882
272	2.988503822
273	2.98578795
274	2.980870076
275	2.97815546
276	2.975086551
277	2.973443554
278	2.971998405
279	2.969753069
280	2.967648046
281	2.96573239
282	2.965349841
283	2.963442317
284	2.959209335
285	2.956359188
286	2.952816925
287	2.950346788
288	2.947936119
289	2.946387173
290	2.945357165
291	2.944377037
292	2.942440787
293	2.940105331
294	2.936425277
295	2.933889363
296	2.931791585
297	2.930033087
298	2.928290348
299	2.9263102
300	2.923490481
301	2.92143167
302	2.92104118
303	2.919333427
304	2.919136894
305	2.916183608
306	2.914106307
307	2.911649076
308	2.90959063
309	2.907148432
310	2.906879695
311	2.903608468
312	2.901779203
313	2.900160541
314	2.896947313
315	2.894620261
316	2.892623933
317	2.890341092
318	2.888681752
319	2.886390522
320	2.884539721
321	2.881596121
322	2.880811495
323	2.879301736
324	2.876803395
325	2.874441521
326	2.872543814
327	2.870850618
328	2.867812642
329	2.865140201
330	2.862947999
331	2.86052735
332	2.858733081
333	2.856021119
334	2.852744497
335	2.851217744
336	2.849246429
337	2.848046897
338	2.845826028
339	2.844367911
340	2.842834019
341	2.840399331
342	2.838707406
343	2.837659921
344	2.835440636
345	2.834445694
346	2.83322019
347	2.831511831
348	2.829359413
349	2.826919334
350	2.825321904
351	2.823781908
352	2.821342056
353	2.81862076
354	2.816852246
355	2.811766775
356	2.808040859
357	2.805471707
358	2.803646132
359	2.803181938
360	2.80188117
361	2.799721268
362	2.797956202
363	2.794533381
364	2.792932035
365	2.79140457
366	2.789796992
367	2.787265836
368	2.786125529
369	2.784402075
370	2.782395993
371	2.779883992
372	2.777894096
373	2.776636706
374	2.775088496
375	2.773167764
376	2.771190707
