iter	Passed	Remaining
0	6	3485
1	12	3155
2	18	3084
3	25	3172
4	31	3128
5	39	3240
6	45	3230
7	52	3204
8	60	3300
9	67	3283
10	74	3299
11	81	3308
12	88	3319
13	94	3268
14	100	3246
15	106	3224
16	112	3204
17	118	3163
18	124	3142
19	129	3104
20	134	3063
21	140	3052
22	146	3029
23	151	3014
24	158	3003
25	163	2979
26	169	2975
27	176	2974
28	182	2957
29	188	2959
30	193	2933
31	199	2916
32	205	2912
33	211	2892
34	216	2875
35	222	2861
36	226	2836
37	232	2826
38	238	2819
39	243	2801
40	249	2791
41	255	2783
42	260	2767
43	266	2763
44	272	2753
45	277	2740
46	282	2722
47	288	2718
48	293	2703
49	299	2693
50	305	2685
51	309	2666
52	314	2653
53	320	2648
54	325	2630
55	330	2620
56	336	2612
57	340	2598
58	346	2592
59	352	2585
60	357	2573
61	362	2560
62	368	2557
63	373	2542
64	378	2535
65	384	2528
66	389	2518
67	395	2511
68	400	2504
69	405	2490
70	411	2484
71	417	2480
72	422	2470
73	428	2466
74	434	2463
75	439	2453
76	445	2446
77	451	2444
78	456	2433
79	461	2425
80	467	2417
81	472	2409
82	478	2404
83	486	2407
84	490	2396
85	496	2388
86	502	2384
87	507	2375
88	512	2364
89	517	2359
90	522	2350
91	528	2341
92	533	2336
93	539	2328
94	544	2320
95	550	2314
96	555	2307
97	560	2298
98	566	2293
99	571	2285
100	576	2277
101	583	2275
102	587	2265
103	593	2258
104	598	2252
105	604	2245
106	609	2238
107	615	2232
108	620	2224
109	625	2217
110	631	2211
111	635	2201
112	641	2195
113	646	2190
114	651	2182
115	657	2175
116	663	2171
117	668	2162
118	673	2155
119	678	2149
120	684	2143
121	689	2137
122	695	2132
123	700	2124
124	705	2115
125	710	2109
126	716	2103
127	722	2098
128	727	2093
129	733	2086
130	738	2081
131	744	2075
132	749	2068
133	755	2062
134	761	2057
135	766	2050
136	770	2042
137	775	2034
138	781	2029
139	786	2022
140	791	2014
141	796	2008
142	801	2001
143	806	1994
144	812	1989
145	817	1981
146	822	1974
147	828	1970
148	835	1969
149	843	1969
150	849	1963
151	855	1958
152	862	1955
153	867	1949
154	872	1942
155	878	1938
156	884	1933
157	890	1927
158	896	1922
159	902	1917
160	908	1913
161	913	1905
162	918	1899
163	923	1892
164	929	1886
165	934	1879
166	939	1873
167	945	1868
168	950	1861
169	956	1855
170	961	1850
171	966	1843
172	972	1837
173	977	1831
174	982	1824
175	987	1818
176	993	1812
177	997	1805
178	1003	1798
179	1009	1793
180	1014	1787
181	1019	1781
182	1025	1775
183	1029	1768
184	1034	1762
185	1040	1757
186	1045	1750
187	1051	1744
188	1056	1739
189	1061	1732
190	1066	1726
191	1072	1720
192	1077	1713
193	1082	1707
194	1088	1702
195	1093	1695
196	1098	1689
197	1103	1683
198	1109	1677
199	1114	1671
200	1119	1665
201	1125	1661
202	1130	1654
203	1135	1647
204	1141	1642
205	1146	1636
206	1151	1630
207	1158	1625
208	1163	1619
209	1168	1613
210	1174	1608
211	1179	1602
212	1184	1596
213	1191	1592
214	1196	1586
215	1201	1580
216	1207	1575
217	1213	1569
218	1217	1562
219	1223	1557
220	1228	1550
221	1233	1544
222	1239	1539
223	1244	1533
224	1249	1527
225	1256	1523
226	1263	1518
227	1270	1516
228	1275	1509
229	1282	1505
230	1289	1501
231	1295	1496
232	1301	1491
233	1307	1486
234	1314	1482
235	1320	1477
236	1325	1471
237	1330	1465
238	1337	1460
239	1342	1454
240	1348	1448
241	1354	1443
242	1358	1437
243	1364	1431
244	1369	1425
245	1374	1419
246	1380	1413
247	1386	1408
248	1391	1402
249	1397	1397
250	1403	1392
251	1408	1386
252	1414	1381
253	1420	1375
254	1425	1369
255	1430	1363
256	1437	1358
257	1442	1352
258	1447	1347
259	1454	1342
260	1459	1336
261	1464	1330
262	1469	1324
263	1475	1318
264	1480	1313
265	1486	1307
266	1491	1301
267	1496	1295
268	1502	1290
269	1507	1284
270	1512	1277
271	1518	1273
272	1523	1266
273	1528	1261
274	1535	1255
275	1540	1250
276	1545	1244
277	1551	1238
278	1555	1232
279	1561	1226
280	1566	1221
281	1571	1215
282	1576	1209
283	1582	1203
284	1587	1197
285	1593	1192
286	1599	1186
287	1603	1180
288	1608	1174
289	1614	1168
290	1618	1162
291	1623	1156
292	1628	1150
293	1633	1144
294	1639	1139
295	1644	1133
296	1649	1127
297	1655	1122
298	1660	1116
299	1666	1110
300	1671	1105
301	1677	1099
302	1682	1093
303	1687	1088
304	1692	1081
305	1698	1076
306	1703	1070
307	1709	1065
308	1715	1060
309	1720	1054
310	1724	1048
311	1730	1042
312	1735	1037
313	1740	1031
314	1746	1025
315	1751	1019
316	1756	1014
317	1762	1008
318	1766	1002
319	1771	996
320	1776	990
321	1782	985
322	1787	979
323	1791	973
324	1797	967
325	1802	962
326	1807	956
327	1813	951
328	1818	945
329	1823	939
330	1831	935
331	1837	930
332	1845	925
333	1851	920
334	1856	914
335	1863	909
336	1868	903
337	1873	898
338	1879	892
339	1884	886
340	1889	881
341	1895	875
342	1900	869
343	1905	864
344	1911	858
345	1916	852
346	1921	847
347	1927	841
348	1932	836
349	1937	830
350	1943	825
351	1948	819
352	1954	813
353	1960	808
354	1965	802
355	1970	797
356	1976	791
357	1981	786
358	1987	780
359	1993	775
360	1998	769
361	2003	763
362	2009	758
363	2014	752
364	2018	746
365	2025	741
366	2029	735
367	2035	729
368	2040	724
369	2045	718
370	2051	713
371	2056	707
372	2061	702
373	2067	696
374	2072	690
375	2078	685
376	2083	679
377	2088	674
378	2094	668
379	2099	663
380	2104	657
381	2110	651
382	2116	646
383	2121	640
384	2127	635
385	2135	630
386	2141	625
387	2146	619
388	2152	614
389	2158	608
390	2163	603
391	2169	597
392	2175	592
393	2181	586
394	2186	581
395	2192	575
396	2197	570
397	2204	564
398	2209	559
399	2214	553
400	2220	548
401	2225	542
402	2232	537
403	2238	531
404	2245	526
405	2251	521
406	2258	515
407	2264	510
408	2271	505
409	2277	499
410	2283	494
411	2289	489
412	2296	483
413	2303	478
414	2309	473
415	2315	467
416	2321	462
417	2327	456
418	2333	451
419	2339	445
420	2346	440
421	2353	435
422	2358	429
423	2364	423
424	2370	418
425	2375	412
426	2381	407
427	2388	401
428	2394	396
429	2399	390
430	2405	385
431	2411	379
432	2416	373
433	2422	368
434	2427	362
435	2432	357
436	2437	351
437	2442	345
438	2447	340
439	2453	334
440	2458	328
441	2464	323
442	2470	317
443	2475	312
444	2480	306
445	2486	301
446	2491	295
447	2497	289
448	2503	284
449	2508	278
450	2513	273
451	2519	267
452	2524	261
453	2529	256
454	2535	250
455	2540	245
456	2545	239
457	2551	233
458	2556	228
459	2561	222
460	2568	217
461	2572	211
462	2578	206
463	2583	200
464	2588	194
465	2593	189
466	2598	183
467	2604	178
468	2609	172
469	2615	166
470	2620	161
471	2626	155
472	2631	150
473	2636	144
474	2641	139
475	2646	133
476	2651	127
477	2657	122
478	2661	116
479	2667	111
480	2673	105
481	2678	100
482	2684	94
483	2689	88
484	2694	83
485	2699	77
486	2704	72
487	2709	66
488	2714	61
489	2718	55
490	2724	49
491	2729	44
492	2735	38
493	2740	33
494	2745	27
495	2751	22
496	2759	16
497	2774	11
498	2783	5
499	2789	0
